Semana,Miercoles,Fase,ID,Componente/Alcance,Entregable de diseno,Herramienta,Estimacion (dias)
S1,17 jun 2026,Descubrimiento,D0.1,Arquitectura de información,Mapa del sitio + flujos principales de la intranet,FigJam/XD,1.5
S1,17 jun 2026,Descubrimiento,D0.2,Dirección visual,Moodboard (identidad CGN + GOV.CO),Adobe XD,1
S1,17 jun 2026,Sistema de diseño,D0.3,Estilos base,"Paleta, tipografía (Nunito Sans/Verdana), grilla y espaciado",Adobe XD,2
S1,17 jun 2026,Sistema de diseño,D0.4,Iconografía,Set de íconos alineado al Kit UI,Adobe XD,0.5
S2,24 jun 2026,Transversales,D1.1,Barra superior + accesibilidad,Mockups con estados,Adobe XD,1
S2,24 jun 2026,Transversales,D1.2,Cabecera CGN (cabezote) + buscador,Mockup desktop y responsive,Adobe XD,1
S2,24 jun 2026,Transversales,D1.3,Menú de navegación,"Mockups: desktop, mega menú y responsive",Adobe XD,2
S2,24 jun 2026,Transversales,D1.4,Miga de pan,Mockup (2 y 3+ niveles),Adobe XD,0.5
S2,24 jun 2026,Transversales,D1.5,Pie de página,Mockups (variantes de sedes),Adobe XD,1
S3,01 jul 2026,Generales,D2.1,Botones,Mockups de variantes y estados,Adobe XD,1
S3,01 jul 2026,Generales,D2.2,Hero / Banner intranet,Mockup + recuadro fecha/proceso,Adobe XD,1
S3,01 jul 2026,Generales,D2.3,Carrusel,Mockups + indicadores y controles,Adobe XD,1.5
S3,01 jul 2026,Generales,D2.5,Galería de aplicaciones,Mockup con estados,Adobe XD,0.5
S3,01 jul 2026,Generales,D2.6,Etiquetas,Mockup (informativa/estado/filtro),Adobe XD,0.5
S4,08 jul 2026,Generales,D2.4,Tarjetas (info/noticia/módulo),Mockups con estados,Adobe XD,1.5
S4,08 jul 2026,Generales,D2.7,Alertas y notificaciones,Mockups (toast + emergente),Adobe XD,1
S4,08 jul 2026,Generales,D2.8,Alerta modal,Mockups (variantes),Adobe XD,1
S4,08 jul 2026,Generales,D2.9,Descripción emergente,Mockup (tooltip),Adobe XD,0.5
S4,08 jul 2026,Generales,D2.13,Paginación,Mockup + responsive,Adobe XD,0.5
S5,15 jul 2026,Generales,D2.10,Acordeón,Mockup con estados,Adobe XD,0.5
S5,15 jul 2026,Generales,D2.11,Pestañas,Mockup (horizontal/vertical),Adobe XD,0.5
S5,15 jul 2026,Generales,D2.12,Tablas,Mockups (variantes responsive),Adobe XD,1.5
S5,15 jul 2026,Generales,D2.15,Indicador de carga,Mockup (con/sin modal),Adobe XD,0.5
S5,15 jul 2026,Generales,D2.16,Área de servicio,Mockups con estados,Adobe XD,1
S5,15 jul 2026,Generales,D2.17,Buscador,Mockups (básico + predictivo),Adobe XD,0.5
S6,22 jul 2026,Generales,D2.14,Línea de avance,Mockups (posición/interacción),Adobe XD,1.5
S6,22 jul 2026,Formulario,D3.1,Entradas de texto,Mockups (tipos y estados),Adobe XD,1.5
S6,22 jul 2026,Formulario,D3.3,Opciones de selección,Mockups (checkbox/radio/switch),Adobe XD,1
S7,29 jul 2026,Formulario,D3.2,Desplegables,Mockups (lista/filtro/checks/calendario),Adobe XD,1.5
S7,29 jul 2026,Formulario,D3.4,Carga de archivos,Mockups con estados,Adobe XD,1
S7,29 jul 2026,Formulario,D3.5,Módulo de inicio de sesión,Mockups (natural/jurídica),Adobe XD,1
S8,05 ago 2026,Maquetas,D4.1,Home,Maqueta desktop + responsive,Adobe XD,1.5
S8,05 ago 2026,Maquetas,D4.2,Listado de noticias,Maqueta + paginación/filtros,Adobe XD,1
S8,05 ago 2026,Maquetas,D4.3,Detalle de noticia,Maqueta artículo + relacionadas,Adobe XD,1
S9,12 ago 2026,Maquetas,D4.4,Página interna genérica,Maqueta basada en bloques,Adobe XD,1
S9,12 ago 2026,Maquetas,D4.5,Página de trámite/formulario,Maqueta con línea de avance,Adobe XD,1.5
S9,12 ago 2026,Prototipo y entrega,D5.1,Prototipo navegable,Prototipo interactivo de la intranet,Adobe XD,2
S10,19 ago 2026,Prototipo y entrega,D5.2,Pruebas de usabilidad,Hallazgos + ajustes de diseño,Adobe XD,2
S10,19 ago 2026,Prototipo y entrega,D5.3,Revisión de accesibilidad de diseño,Checklist contraste/foco/jerarquía (WCAG 2.1),Adobe XD,1
S11,26 ago 2026,Prototipo y entrega,D5.4,Especificaciones / handoff,Specs y guía de entrega a front-end,Adobe XD/Zeplin,1.5
